dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,clinical_booking_db,appointments,AppointmentID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,appointments,DateTime,6,datetime,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,appointments,LocationID,5,int,NULL,"FOREIGN KEY",clinical_booking_db,locations,LocationID
mysql,clinical_booking_db,appointments,Notes,8,text,65535,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,appointments,PatientID,2,int,NULL,"FOREIGN KEY",clinical_booking_db,patients,PatientID
mysql,clinical_booking_db,appointments,ProviderID,3,int,NULL,"FOREIGN KEY",clinical_booking_db,providers,ProviderID
mysql,clinical_booking_db,appointments,ServiceID,4,int,NULL,"FOREIGN KEY",clinical_booking_db,services,ServiceID
mysql,clinical_booking_db,appointments,Status,7,enum,9,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,departments,DepartmentID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,departments,Description,3,text,65535,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,departments,Name,2,varchar,100,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,feedback,AppointmentID,2,int,NULL,"FOREIGN KEY",clinical_booking_db,appointments,AppointmentID
mysql,clinical_booking_db,feedback,Comments,4,text,65535,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,feedback,Date,5,date,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,feedback,FeedbackID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,feedback,Rating,3,int,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,insurance,ExpiryDate,5,date,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,insurance,InsuranceID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,insurance,PatientID,2,int,NULL,"FOREIGN KEY",clinical_booking_db,patients,PatientID
mysql,clinical_booking_db,insurance,PolicyNumber,4,varchar,50,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,insurance,ProviderName,3,varchar,100,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,locations,Address,2,varchar,255,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,locations,City,3,varchar,50,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,locations,LocationID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,locations,Phone,6,varchar,20,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,locations,State,4,varchar,50,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,locations,ZipCode,5,varchar,20,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,medicalrecords,AppointmentID,3,int,NULL,"FOREIGN KEY",clinical_booking_db,appointments,AppointmentID
mysql,clinical_booking_db,medicalrecords,Diagnosis,4,text,65535,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,medicalrecords,Notes,6,text,65535,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,medicalrecords,PatientID,2,int,NULL,"FOREIGN KEY",clinical_booking_db,patients,PatientID
mysql,clinical_booking_db,medicalrecords,Prescription,5,text,65535,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,medicalrecords,RecordID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,patients,Address,7,text,65535,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,patients,ContactNumber,5,varchar,20,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,patients,DOB,4,date,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,patients,Email,6,varchar,100,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,patients,EmergencyContact,8,varchar,20,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,patients,FirstName,2,varchar,50,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,patients,LastName,3,varchar,50,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,patients,PatientID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,payments,Amount,3,decimal,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,payments,AppointmentID,2,int,NULL,"FOREIGN KEY",clinical_booking_db,appointments,AppointmentID
mysql,clinical_booking_db,payments,PaymentID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,payments,PaymentMethod,4,enum,11,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,payments,Status,5,enum,7,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,payments,TransactionDate,6,date,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,providers,ContactNumber,5,varchar,20,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,providers,Email,6,varchar,100,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,providers,FirstName,2,varchar,50,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,providers,LastName,3,varchar,50,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,providers,ProviderID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,providers,Specialty,4,varchar,100,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,providerservices,ProviderID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,providerservices,ProviderID,1,int,NULL,"FOREIGN KEY",clinical_booking_db,providers,ProviderID
mysql,clinical_booking_db,providerservices,ServiceID,2,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,providerservices,ServiceID,2,int,NULL,"FOREIGN KEY",clinical_booking_db,services,ServiceID
mysql,clinical_booking_db,schedules,DayOfWeek,3,enum,3,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,schedules,EndTime,5,time,NULL,NULL,NULL,NULL,NULL
mysql,clinical_booking_db,schedules,LocationID,6,int,NULL,"FOREIGN KEY",clinical_booking_db,locations,LocationID
mysql,clinical_booking_db,schedules,ProviderID,2,int,NULL,"FOREIGN KEY",clinical_booking_db,providers,ProviderID
mysql,clinical_booking_db,schedules,ScheduleID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,clinical_booking_db,schedules,StartTime,4,time,NULL,NULL,NULL,NULL,NULL
